gtin;ndFreeOfAlcohol;gln;regulatedProdName;functionalName;labelDescription;TradeItemDescr;ingredient_informatie
3,7602E+12;;1,09421E+12;;;;FAV MENU ONE;
3,7602E+12;;1,09421E+12;;;;FAV MENU TWO;
3,7602E+12;;1,09421E+12;;;;FAV MENU THREE;
3,7602E+12;;1,09421E+12;;;;FAV ZALM MAKI;
3,7602E+12;;1,09421E+12;;;;FAV AVOCADO MAKI;
3,7602E+12;;1,09421E+12;;;;FAV KOMKOMMER MAKI;
3,7602E+12;;1,09421E+12;;;;FAV CRUNCH CALI ROLL;
3,7602E+12;;1,09421E+12;;;;FAV ZALM CRUNCH ROLL;
3,7602E+12;;1,09421E+12;;;;FAV COMBO ONE;
3,7602E+12;;1,09421E+12;;;;FAV ZALMTARTAAR;
3,7602E+12;;1,09421E+12;;;;CALIFORNIA TOMATE CREVETTE;
3,7602E+12;;1,09421E+12;;;;KD FREE PRODUCT SAMPLE BEL;
3,7602E+12;;1,09421E+12;;;;ROLL HAMACHI MENTHE BEL;
3,7602E+12;;1,09421E+12;;;;VERDE MAKI HAMACHI BEL;
3,7602E+12;;1,09421E+12;;;;Veggie maki mix;
3,7602E+12;;1,09421E+12;;;;Party mix;
3,7602E+12;;1,09421E+12;;;;Crunch gekookte tonijn;
3,7602E+12;;1,09421E+12;;;;SUSHI APERO BEL;
3,7602E+12;;1,09421E+12;;;;MAKI CALIFORNIA COOKED SALMON;
3,7602E+12;;1,09421E+12;;;;VERDE MAKI COOKED SALMON;
3,7602E+12;;1,09421E+12;;;;VERDE ROLL SAUMON CUIT ANETH BEL;
3,7602E+12;;1,09421E+12;;;;MENU SAUMON CUIT BEL;
3,7602E+12;;1,09421E+12;;;;Spicy Cali Crunch;
3,7602E+12;;1,09421E+12;;;;Spicy Zalm Crunch;
3,7602E+12;;1,09421E+12;;;;MENU ICHI 9P BEL;
3,7602E+12;;1,09421E+12;;;;MENU NI 12P BEL;
3,7602E+12;;1,09421E+12;;;;MENU SAN 14P BEL;
3,7602E+12;;1,09421E+12;;;;MENU YON 16P BEL;
3,7602E+12;;1,09421E+12;;;;Menu Hachi;
3,7602E+12;;1,09421E+12;;;;SASHIMI SALMON BEL;
3,7602E+12;;1,09421E+12;;;;SASHIMI SALMON L BEL;
3,7602E+12;;1,09421E+12;;;;SASHIMI DUO L BEL;
3,7602E+12;;1,09421E+12;;;;SASHIMI TUNA BEL;
3,7602E+12;;1,09421E+12;;;;SASHIMI HAMACHI BEL;
4,06057E+12;TRUE;4,06057E+12;Wine;Getränk / Beverage;Free Feather alcoholfree Chardonnay;Feather Alcoholfree white wine ;Contains sulfites
4,06057E+12;TRUE;4,06057E+12;Wine;Getränk / Beverage;Free Feather alcoholfree Merlot;Feather Alcoholfree red wine ;Contains sulfites
4,06057E+12;TRUE;4,06057E+12;Wine;Alkoholfreier Weisswein;Free Feather - Free feather wit Alcoholvrij kvp 0,25 l;Free Feather alcoholfree white wine Typ Chardonnay 25 cl;Contains sulfites
4,06057E+12;TRUE;4,06057E+12;Wine;Alkoholfreier Rotwein;Free Feather - Free feather rood Alcoholvrij kvp 0,25 l;Free Feather alcoholfree red wine Typ Merlot 25 cl;Contains sulfites
96199510;TRUE;5,03886E+12;Hot ginger shot;Hot ginger shot;;innocent hot ginger shot 100ml;Appelsap (43%), gember (24%), druivensap, citroensap (11%), vitamine A, vitamine D
